  Wi,  Ai,  Bi
0.046819923,0.251153846,0.065294118
0.032345773,0.078612496,0.033437806
0.080641755,0.185358932,0.06897104
0.088828093,0.179278656,0.028416887
0.038967495,0.076919708,0.037684864
0.002779097,1.00E-06,0.011621824
0.055971178,0.114554974,0.035757576
0.048606725,0.052486002,0.103149321
0.030584416,0.004310345,0.019852399
0.049606127,0.051428571,0.046153846
0.281105207,0.412272727,0.02221843
0.022359551,0.009174312,0.054626556
0.046747487,0.058311111,0.048130081
0.072850212,0.078438469,0.055674419
0.163666369,0.23368272,0.036162791
0.048114075,0.0334375,0.03984
0.083183779,0.130019084,0.045648755
