Event,dataset,positive,neutral,negative,positive %,neutral %,negative %,happy,angry,surprised,sad,fear,happy %,angry %,surprised %,sad %,fear %,happy_nonZero,angry_nonZero,surprise_nonZero,sad_nonZero,fear_nonZero,happy_only,angry_only,surprise_only,sad_only,fear_only,happy_angry,happy_surprise,happy_sad,happy_fear,angry_surprise,angry_sad,angry_fear,surprise_sad,surprise_fear,sad_fear,happy_angry_surprise,happy_angry_sad,happy_angry_fear,happy_surprise_sad,happy_surprise_fear,happy_sad_fear,angry_surprise_sad,angry_surprise_fear,angry_sad_fear,surprise_sad_fear,happy_angry_surprise_sad,happy_angry_surprise_fear,happy_surprise_sad_fear,angry_surprise_sad_fear,happy_angry_surprise_sad_fear,happy_angry_surprise_sad_fear_allZero
E1,whole,85,134,42,32.56704981,51.34099617,16.09195402,0.05394636,0.046819923,0.060421456,0.158812261,0.246781609,9.518015254,8.260663765,10.66044752,28.02000956,43.5408639,18,18,24,53,77,11,9,10,32,55,0,1,0,3,0,2,1,4,4,6,0,0,1,1,0,1,1,0,3,2,0,0,0,1,0,113
E2,whole,31941,27715,12802,44.08208893,38.24974468,17.66816639,0.126194071,0.032345773,0.111818157,0.134466864,0.343634795,16.86050401,4.321645471,14.9397707,17.96581315,45.91226667,15297,4917,13514,15915,33883,4574,827,4112,5366,15621,369,1231,1246,5091,222,248,1293,1467,3512,4082,224,87,226,276,669,845,77,219,786,1066,44,148,178,58,11,18205
E3,whole,2381,1533,2241,38.68399675,24.90658002,36.40942323,0.087631194,0.080641755,0.198472786,0.12725589,0.280722989,11.31127015,10.40908647,25.61849494,16.42595158,36.23519686,1063,1035,2226,1532,2658,194,135,556,261,873,14,199,65,143,294,100,159,211,408,370,22,11,22,28,142,82,13,66,80,141,10,12,63,41,20,1384
E4,whole,736,394,1319,30.05308289,16.08819927,53.85871784,0.076210698,0.088828093,0.078623928,0.237876684,0.29357697,9.832162067,11.45996861,10.14349983,30.68915743,37.87521206,330,448,348,1109,1013,102,30,103,232,342,6,19,32,63,10,288,20,31,57,351,3,4,7,10,16,38,16,10,24,44,0,2,11,11,5,550
E5,whole,1171,822,1668,31.98579623,22.45288173,45.56132204,0.068407539,0.038967495,0.164403169,0.156768642,0.271237367,9.775519057,5.568501594,23.49340928,22.40242625,38.76014382,503,294,932,951,1451,113,58,398,327,576,10,29,42,105,14,15,72,84,158,192,2,4,13,9,36,67,4,17,22,101,3,11,32,22,12,1098
E6,whole,167,628,47,19.83372922,74.58432304,5.581947743,0.055997625,0.002779097,0.090023753,0.066817102,0.564584323,7.177324869,0.356202286,11.53852009,8.564078349,72.3638744,81,8,106,88,510,20,0,52,34,442,0,19,11,19,1,0,2,9,12,14,0,0,0,1,2,7,0,0,1,6,0,0,1,3,0,185
E7,whole,574,494,528,35.96491228,30.95238095,33.08270677,0.080551378,0.055971178,0.101196742,0.153101504,0.27683584,12.06479093,8.383227917,15.15700371,22.93117366,41.46380379,230,175,264,423,613,65,32,96,121,269,5,14,19,65,11,55,20,23,41,98,6,1,5,1,8,23,3,4,21,38,1,2,10,4,2,530
E8,whole,1514,815,4511,22.13450292,11.91520468,65.9502924,0.032883041,0.048606725,0.153371345,0.088434211,0.437397661,4.32277433,6.389795369,20.16205597,11.62548005,57.49989428,495,652,1581,1027,3751,55,122,701,318,2126,26,46,12,196,36,19,294,99,463,329,4,6,21,4,40,43,3,43,52,97,2,4,23,7,9,1636
E9,whole,124,283,55,26.83982684,61.25541126,11.9047619,0.050887446,0.030584416,0.095974026,0.068593074,0.574285714,6.203329912,3.72833061,11.69951713,8.361698241,70.00712411,47,32,79,66,307,9,4,20,12,227,0,4,4,13,11,0,3,3,15,16,0,1,1,3,4,4,1,1,5,11,0,1,2,3,0,83
E10,whole,49,26,382,10.72210066,5.689277899,83.58862144,0.047702407,0.049606127,0.126148796,0.107483589,0.281575492,7.787939416,8.098742517,20.59516998,17.54787089,45.97027719,36,45,99,101,164,13,7,21,7,94,1,3,3,6,0,6,21,53,9,11,0,0,2,2,1,4,0,1,6,7,0,0,1,1,0,177
E11,whole,172,131,638,18.27842721,13.92136026,67.80021254,0.025770457,0.281105207,0.062837407,0.150541977,0.26501594,3.281727887,35.79722303,8.00200287,19.17070404,33.74834217,58,312,108,246,374,6,227,29,55,123,2,3,4,29,9,20,31,7,25,119,0,0,3,0,3,5,3,1,6,19,0,2,0,7,0,202
E12,whole,221,144,347,31.03932584,20.2247191,48.73595506,0.063005618,0.022359551,0.074410112,0.172134831,0.33497191,9.447790752,3.352849569,11.15791243,25.81188656,50.22956069,94,45,120,228,362,21,5,19,45,117,1,3,4,19,2,1,8,10,30,107,0,0,3,1,8,11,1,9,3,24,0,2,11,0,0,237
E13,whole,267,414,1010,15.78947368,24.4825547,59.72797161,0.082436428,0.046747487,0.076232998,0.073808397,0.340887049,13.29378891,7.53855109,12.29341697,11.90242315,54.97181987,234,133,253,267,752,89,44,58,41,383,5,3,14,42,8,7,30,12,77,107,3,1,7,9,25,16,1,8,6,28,2,0,12,5,2,642
E14,whole,273,251,1125,16.55548817,15.22134627,68.22316555,0.097010309,0.072850212,0.083917526,0.084912068,0.320879321,14.7081268,11.04511641,12.72307682,12.87386337,48.64981661,257,186,257,287,716,105,80,75,49,321,3,2,21,45,9,7,55,14,68,106,1,0,6,5,25,23,1,5,4,31,0,1,12,6,2,561
E15,whole,242,163,716,21.58786798,14.54058876,63.87154326,0.034727921,0.163666369,0.052247993,0.069134701,0.280419269,5.786094269,27.26880886,8.70515148,11.51868254,46.72126285,85,244,113,147,413,14,142,29,35,211,2,3,10,17,6,7,54,4,29,40,2,0,4,0,6,14,5,3,8,12,1,4,5,3,1,448
E16,whole,1052,543,579,48.3900644,24.97700092,26.63293468,0.105381785,0.048114075,0.141182153,0.1649908,0.324213431,13.44357342,6.137921272,18.01063286,21.04790627,41.35996618,463,250,604,678,1113,97,36,129,165,326,11,38,22,97,15,10,39,45,140,166,2,3,21,14,39,58,4,27,39,83,1,10,36,18,3,469
E17,whole,335,184,640,28.90422778,15.87575496,55.22001726,0.074961173,0.083183779,0.103994823,0.11092321,0.285910267,11.37545003,12.62324059,15.78134206,16.8327333,43.38723402,162,166,238,247,498,45,55,39,47,170,1,5,18,26,16,20,21,6,104,80,1,2,13,6,12,14,5,4,9,18,0,5,8,8,1,395
E1,subset,1,1,24,3.846153846,3.846153846,92.30769231,1.00E-05,0.251153846,0.007692308,0.451153846,0.174230769,0.001130914,28.40333253,0.86993365,51.02160654,19.70399637,0,8,1,13,6,0,6,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
E2,subset,1120,470,1819,32.85420945,13.78703432,53.35875623,0.032472866,0.078612496,0.107236726,0.192329129,0.412255793,3.946116099,9.553023008,13.03145127,23.37191525,50.09749437,201,896,835,1636,2109,45,25,54,62,560,48,4,9,45,17,17,133,407,145,456,1,2,3,6,2,14,0,84,537,99,0,4,2,9,1,603
E3,subset,58,26,515,9.682804674,4.340567613,85.97662771,0.034958264,0.185358932,0.107395659,0.152754591,0.405659432,3.945063045,20.91787718,12.11967063,17.23845589,45.77893325,54,202,112,185,327,3,49,36,21,161,1,3,6,14,4,63,34,11,25,29,1,1,3,1,5,5,3,6,24,6,1,1,3,5,1,68
E4,subset,43,9,960,4.249011858,0.889328063,94.86166008,0.026205534,0.179278656,0.07694664,0.329476285,0.233577075,3.099470612,21.20425883,9.100896375,38.96894689,27.62642729,74,374,133,599,345,6,17,49,108,132,2,1,11,11,5,282,9,9,15,100,1,4,4,3,2,10,13,2,17,20,0,1,5,4,3,156
E5,subset,56,17,612,8.175182482,2.481751825,89.34306569,0.062963504,0.076919708,0.113751825,0.124043796,0.24389781,10.12964446,12.37493539,18.3005308,19.95631551,39.23857383,83,100,128,144,256,24,21,45,48,85,1,4,7,18,2,1,43,12,27,28,1,1,2,1,1,9,2,6,6,14,0,2,3,3,5,259
E6,subset,1,23,4,3.571428571,82.14285714,14.28571429,1.00E-06,1.00E-06,0.071428571,0.035714286,0.142857143,0.000399997,0.000399997,28.57119983,14.28560012,57.14240006,0,0,2,1,4,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
E7,subset,32,8,342,8.376963351,2.094240838,89.52879581,0.025680628,0.114554974,0.052643979,0.166753927,0.349424084,3.621797198,16.15594774,7.424499729,23.51768444,49.28007089,24,87,39,112,161,2,9,10,25,103,1,4,0,6,1,50,8,2,4,17,5,0,2,0,2,2,1,2,7,7,0,0,0,1,0,111
E8,subset,515,108,3842,11.53415454,2.41881299,86.04703247,0.024524076,0.052486002,0.132199328,0.085298992,0.43462262,3.36346629,7.198432203,18.13107998,11.69871942,59.60830211,240,426,895,622,2419,18,91,368,198,1400,4,30,3,139,32,8,233,79,281,225,2,0,6,1,12,10,2,16,24,57,1,2,9,2,1,1209
E9,subset,4,49,5,6.896551724,84.48275862,8.620689655,1.00E-06,0.004310345,0.066034483,0.01,0.885172414,0.000103571,0.446428127,6.839278651,1.035713212,91.67847644,0,1,6,2,53,0,0,3,0,49,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E10,subset,11,1,366,2.91005291,0.264550265,96.82539683,0.027248677,0.051428571,0.117354497,0.106587302,0.289814815,4.599446242,8.680896603,19.80887733,17.99142636,48.91935347,18,39,78,83,135,6,5,13,4,84,0,1,2,1,0,6,21,50,7,7,0,0,2,2,1,3,0,0,5,4,0,0,0,0,0,154
E11,subset,31,8,555,5.218855219,1.346801347,93.43434343,0.016262626,0.412272727,0.022643098,0.110959596,0.235757576,2.038189649,51.67000734,2.837852138,13.90653023,29.54742064,27,274,24,123,205,2,218,6,19,69,1,0,3,15,6,14,26,0,4,75,0,0,2,0,1,2,0,1,3,4,0,0,0,2,0,120
E12,subset,10,4,204,4.587155963,1.834862385,93.57798165,0.010504587,0.009174312,0.032477064,0.09206422,0.263853211,2.574190612,2.24820146,7.958633049,22.56070142,64.65827346,6,5,15,27,69,0,1,4,14,46,0,0,0,3,0,0,1,1,2,8,0,0,0,0,2,1,0,3,0,3,0,0,0,0,0,129
E13,subset,27,7,866,3,0.777777778,96.22222222,0.084044444,0.058311111,0.080055556,0.048533333,0.301166667,14.69023104,10.19227033,13.99300843,8.483200565,52.64128964,107,69,124,95,334,57,38,41,14,196,0,1,10,16,6,4,17,5,40,32,0,0,0,5,7,6,0,1,1,11,0,0,5,2,0,385
E14,subset,50,11,906,5.170630817,1.13753878,93.6918304,0.110806618,0.078438469,0.076690796,0.078914168,0.270320579,18.01233879,12.75068496,12.46658931,12.82801294,43.942374,156,116,141,155,355,79,52,40,30,148,0,1,16,21,7,4,41,7,39,47,0,0,0,4,10,12,0,2,2,15,0,0,10,5,1,372
E15,subset,36,9,661,5.099150142,1.274787535,93.62606232,0.017917847,0.23368272,0.026997167,0.046373938,0.182067989,3.533815671,46.08766098,5.324468494,9.146017869,35.90803698,29,201,39,60,181,4,136,9,16,73,1,0,2,7,4,1,48,2,11,16,1,0,3,0,0,7,1,0,4,8,0,1,2,0,0,348
E16,subset,18,4,74,18.75,4.166666667,77.08333333,0.075208333,0.0334375,0.1046875,0.096041667,0.44,10.03614118,4.46205171,13.96997498,12.8162358,58.71559633,19,11,23,22,62,2,0,3,2,21,0,1,0,9,0,0,1,2,10,4,0,0,2,0,0,3,0,0,4,4,0,1,0,2,0,24
E17,subset,36,1,487,6.870229008,0.190839695,92.9389313,0.028110687,0.130019084,0.095515267,0.105725191,0.317958015,4.150231036,19.19587514,14.10176939,15.60915139,46.94297304,35,103,104,105,248,3,44,7,17,85,1,1,5,9,6,19,16,0,69,42,0,1,2,1,3,2,2,2,3,5,0,2,3,3,0,169
